Monomer_Length_in_Main_Chain,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MaxPartialCharge,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,PEOE_VSA10,PEOE_VSA11,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA4,SMR_VSA6,EState_VSA8,EState_VSA9,VSA_EState3,VSA_EState4,VSA_EState7,FractionCSP3,NHOHCount,NumAliphaticHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Al_OH,fr_NH0,fr_Ndealkylation1,fr_Ndealkylation2,fr_bicyclic,fr_ether,fr_lactone,fr_piperdine,Sequence_LogP_Avg,Molecule_Shape_Circle,Sequence_TPSA_Mean,Sequence_TPSA_Median,Sequence_TPSA_Std,Sequence_TPSA_Min,Sequence_TPSA_Max,Ipc_Normalized
11,18.025327,3.146713736,0.147924715,0.245643649,0.390126486,0.564705882,1.15e-16,-0.249287767,-3.72e-16,-2.741631859,-2.890258212,-2.31e-16,-1.136047084,8.516208569,6899.875158,60.17892468,5.647368313,0.0,108.0306331,100.0509296,173.5698169,33.13825605,64.97897702,1.431199657,41.2577038,55.32764799,5.108808191,108.350367,-9.339386785,0.0,-51.24993928,0.790322581,5,1,1,1,3.269,1,7,7,0,0,0,0,0,0.6451454545454545,1,24.345454545454547,20.31,4.422211219075329,20.31,29.54,1.7526501766784452e-39
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,4.33e-16,-0.24928777,-2.06e-16,-2.716753673,-2.89458429,-2.12e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,1.3710247349823323e-80
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,5.29e-16,-0.24928777,-1.99e-16,-2.716753673,-2.89458429,-1.1e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,1.0247349823321554e-79
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,7.25e-17,-0.24928777,-2.39e-16,-2.716753673,-2.89458429,-2.19e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,4.098939929328622e-79
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,5.29e-16,-0.24928777,-1.99e-16,-2.716753673,-2.89458429,-1.1e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,1.0247349823321554e-79
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,7.25e-17,-0.24928777,-2.39e-16,-2.716753673,-2.89458429,-2.19e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,4.098939929328622e-79
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,5.29e-16,-0.24928777,-1.99e-16,-2.716753673,-2.89458429,-1.1e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,1.0247349823321554e-79
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,5.29e-16,-0.24928777,-1.99e-16,-2.716753673,-2.89458429,-1.1e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,1.0247349823321554e-79
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,5.29e-16,-0.24928777,-1.99e-16,-2.716753673,-2.89458429,-1.1e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,1.0247349823321554e-79
6,16.3125436,1.737066725,0.215270438,0.29309207,0.507966645,0.745098039,5.29e-16,-0.24928777,-1.99e-16,-2.716753673,-2.89458429,-1.1e-16,-1.135790365,3.600346506,3800.979834,41.85686664,7.059210392,0.0,66.89997435,79.46166906,73.18316106,13.70758556,35.44307838,1.431199657,23.57583074,6.496859684,5.108808191,59.00305902,-9.276643065,-2.655514009,-43.10535189,0.684210526,6,2,2,3,2.5477,0,1,0,0,1,0,0,0,0.7131166666666662,1,31.00666666666667,29.1,8.800612983701129,20.31,49.33,1.0247349823321554e-79
